id,name,population,state,state_id
2727,San Saba,6054,Texas,44
2728,Schleicher,2895,Texas,44
2729,Scurry,16866,Texas,44
2730,Shackelford,3253,Texas,44
2731,Shelby,25418,Texas,44
2732,Sherman,3079,Texas,44
2733,Smith,230221,Texas,44
2734,Somervell,9016,Texas,44
2735,Starr,64525,Texas,44
2736,Stephens,9433,Texas,44
2737,Sterling,1311,Texas,44
2738,Stonewall,1362,Texas,44
2739,Sutton,3758,Texas,44
2740,Swisher,7462,Texas,44
2741,Tarrant,2084931,Texas,44
2742,Taylor,137640,Texas,44
2743,Terrell,823,Texas,44
2744,Terry,12287,Texas,44
2745,Throckmorton,1515,Texas,44
2746,Titus,33033,Texas,44
2747,Tom Green,118189,Texas,44
2748,Travis,1248743,Texas,44
2749,Trinity,14740,Texas,44
2750,Tyler,21696,Texas,44
2751,Upshur,41260,Texas,44
2752,Upton,3671,Texas,44
2753,Uvalde,26846,Texas,44
2754,Val Verde,49208,Texas,44
2755,Van Zandt,56019,Texas,44
2756,Victoria,92035,Texas,44
2757,Walker,72480,Texas,44
2758,Waller,53126,Texas,44
2759,Ward,11720,Texas,44
2760,Washington,35108,Texas,44
2761,Webb,275910,Texas,44
2762,Wharton,41619,Texas,44
2763,Wheeler,5191,Texas,44
2764,Wichita,132064,Texas,44
2765,Wilbarger,12820,Texas,44
2766,Willacy,21515,Texas,44
2767,Williamson,566719,Texas,44
2768,Wilson,50224,Texas,44
2769,Winkler,7720,Texas,44
2770,Wise,68305,Texas,44
2771,Wood,45129,Texas,44
2772,Yoakum,8591,Texas,44
2773,Young,18045,Texas,44
2774,Zapata,14190,Texas,44
2775,Zavala,11983,Texas,44
2776,Beaver,6580,Utah,45
2777,Box Elder,54950,Utah,45
2778,Cache,127068,Utah,45
2779,Carbon,20269,Utah,45
2780,Daggett,980,Utah,45
2781,Davis,351713,Utah,45
2782,Duchesne,19964,Utah,45
2783,Emery,10014,Utah,45
2784,Garfield,5080,Utah,45
2785,Grand,9764,Utah,45
2786,Iron,52775,Utah,45
2787,Juab,11555,Utah,45
2788,Kane,7709,Utah,45
2789,Millard,13006,Utah,45
2790,Morgan,12045,Utah,45
2791,Piute,1445,Utah,45
2792,Rich,2464,Utah,45
2793,Salt Lake,1152633,Utah,45
2794,San Juan,15449,Utah,45
2795,Sanpete,30623,Utah,45
2796,Sevier,21539,Utah,45
2797,Summit,41933,Utah,45
2798,Tooele,69907,Utah,45
2799,Uintah,35438,Utah,45
2800,Utah,622213,Utah,45
2801,Wasatch,33240,Utah,45
2802,Washington,171700,Utah,45
2803,Wayne,2690,Utah,45
2804,Weber,256359,Utah,45
2805,Addison,36973,Vermont,46
2806,Bennington,35631,Vermont,46
2807,Caledonia,30302,Vermont,46
2808,Chittenden,164572,Vermont,46
2809,Essex,6250,Vermont,46
2810,Franklin,49421,Vermont,46
2811,Grand Isle,7090,Vermont,46
2812,Lamoille,25300,Vermont,46
2813,Orange,28999,Vermont,46
2814,Orleans,26907,Vermont,46
2815,Rutland,58672,Vermont,46
2816,Washington,58140,Vermont,46
2817,Windham,42756,Vermont,46
2818,Windsor,55286,Vermont,46
2819,Accomack,32412,Virginia,47
2820,Albemarle,108718,Virginia,47
2821,Alleghany,14910,Virginia,47
2822,Amelia,13013,Virginia,47
2823,Amherst,31666,Virginia,47
2824,Appomattox,15841,Virginia,47
2825,Arlington,237521,Virginia,47
2826,Augusta,75457,Virginia,47
2827,Bath,4292,Virginia,47
2828,Bedford,78747,Virginia,47
2829,Bland,6293,Virginia,47
2830,Botetourt,33277,Virginia,47
2831,Brunswick,16384,Virginia,47
2832,Buchanan,21221,Virginia,47
2833,Buckingham,16999,Virginia,47
2834,Campbell,54973,Virginia,47
